file_id,relative_path,file_name,ext,size_mb,last_modified,type_guess,forno_guess,variable_guess,n_cols,has_timestamp,timestamp_column,encoding_used,notes
b5933c5d2c,dados_iniciais/Consumo Fornos/2018_F2_Consumo.csv,2018_F2_Consumo.csv,.csv,27.609,2025-04-29T19:22:50,csv,,Consumo,26,yes,Data,latin1,
88b76c6ff1,dados_iniciais/Consumo Fornos/2020_F3_Consumo.csv,2020_F3_Consumo.csv,.csv,28.117,2025-04-29T19:25:38,csv,,Consumo,27,yes,Data,latin1,
cd8739b93f,dados_iniciais/Consumo Fornos/2023_F1_Consumo.csv,2023_F1_Consumo.csv,.csv,26.809,2025-04-29T19:28:52,csv,,Consumo,27,yes,Data,latin1,
c3d574a0b1,dados_iniciais/Consumo Fornos/2019_F4_Consumo.csv,2019_F4_Consumo.csv,.csv,27.92,2025-04-29T19:24:32,csv,,Consumo,26,yes,Data,latin1,
dccc906e5e,dados_iniciais/Consumo Fornos/2024_F4_Consumo.csv,2024_F4_Consumo.csv,.csv,24.585,2025-04-29T19:30:46,csv,,Consumo,26,yes,Data,latin1,
245f819698,dados_iniciais/Consumo Fornos/2020_F5_Consumo.csv,2020_F5_Consumo.csv,.csv,27.828,2025-04-29T19:26:06,csv,,Consumo,26,yes,Data,latin1,
8099e5ff25,dados_iniciais/Consumo Fornos/2022_F5_Consumo.csv,2022_F5_Consumo.csv,.csv,26.812,2025-04-29T19:28:36,csv,,Consumo,26,yes,Data,latin1,
d8486f6a33,dados_iniciais/Consumo Fornos/2023_F3_Consumo.csv,2023_F3_Consumo.csv,.csv,27.834,2025-04-29T19:29:18,csv,,Consumo,28,yes,Data,latin1,
9bfbba0187,dados_iniciais/Consumo Fornos/2021_F4_Consumo.csv,2021_F4_Consumo.csv,.csv,27.607,2025-04-29T19:27:04,csv,,Consumo,26,yes,Data,latin1,
119feed6a4,dados_iniciais/Consumo Fornos/2025_F5_Consumo.csv,2025_F5_Consumo.csv,.csv,24.693,2025-04-29T19:32:08,csv,,Consumo,27,yes,Data,latin1,
56b069de85,dados_iniciais/Consumo Fornos/2023_F2_Consumo.csv,2023_F2_Consumo.csv,.csv,26.456,2025-04-29T19:29:04,csv,,Consumo,26,yes,Data,latin1,
956202b19f,dados_iniciais/Consumo Fornos/2024_F1_Consumo.csv,2024_F1_Consumo.csv,.csv,25.891,2025-04-29T19:30:04,csv,,Consumo,27,yes,Data,latin1,
8b35f541e2,dados_iniciais/Consumo Fornos/2021_F3_Consumo.csv,2021_F3_Consumo.csv,.csv,29.012,2025-04-29T19:26:48,csv,,Consumo,28,yes,Data,latin1,
c7040a1330,dados_iniciais/Consumo Fornos/2025_F1_Consumo.csv,2025_F1_Consumo.csv,.csv,24.654,2025-04-29T19:31:12,csv,,Consumo,27,yes,Data,latin1,
70b5a85fe3,dados_iniciais/Consumo Fornos/2020_F4_Consumo.csv,2020_F4_Consumo.csv,.csv,43.294,2025-04-29T19:25:52,csv,,Consumo,42,yes,Data,latin1,
5ea074082a,dados_iniciais/Consumo Fornos/2024_F2_Consumo.csv,2024_F2_Consumo.csv,.csv,25.775,2025-04-29T19:30:18,csv,,Consumo,26,yes,Data,latin1,
7e563a73be,dados_iniciais/Consumo Fornos/2025_F3_Consumo.csv,2025_F3_Consumo.csv,.csv,24.642,2025-04-29T19:31:34,csv,,Consumo,27,yes,Data,latin1,
e02d440f1f,dados_iniciais/Consumo Fornos/2023_F4_Consumo.csv,2023_F4_Consumo.csv,.csv,25.823,2025-04-29T19:29:30,csv,,Consumo,26,yes,Data,latin1,
13efe60852,dados_iniciais/Consumo Fornos/2020_F1_Consumo.csv,2020_F1_Consumo.csv,.csv,27.452,2025-04-29T19:25:02,csv,,Consumo,26,yes,Data,latin1,
a3a56542af,dados_iniciais/Consumo Fornos/2023_F5_Consumo.csv,2023_F5_Consumo.csv,.csv,25.642,2025-04-29T19:29:50,csv,,Consumo,26,yes,Data,latin1,
82ca3802bc,dados_iniciais/Consumo Fornos/2021_F5_Consumo.csv,2021_F5_Consumo.csv,.csv,27.69,2025-04-29T19:27:18,csv,,Consumo,26,yes,Data,latin1,
c3daf97068,dados_iniciais/Consumo Fornos/2018_F4_Consumo.csv,2018_F4_Consumo.csv,.csv,29.074,2025-04-29T19:23:16,csv,,Consumo,27,yes,Data,latin1,
63678a6346,dados_iniciais/Consumo Fornos/2019_F3_Consumo.csv,2019_F3_Consumo.csv,.csv,27.034,2025-04-29T19:24:18,csv,,Consumo,26,yes,Data,latin1,
7a54aba780,dados_iniciais/Consumo Fornos/2018_F5_Consumo.csv,2018_F5_Consumo.csv,.csv,28.039,2025-04-29T19:23:30,csv,,Consumo,26,yes,Data,latin1,
2e7aef8c9e,dados_iniciais/Consumo Fornos/2019_F1_Consumo.csv,2019_F1_Consumo.csv,.csv,40.594,2025-04-29T19:23:46,csv,,Consumo,42,yes,Data,latin1,
0a00e20d04,dados_iniciais/Consumo Fornos/2018_F3_Consumo.csv,2018_F3_Consumo.csv,.csv,28.249,2025-04-29T19:23:02,csv,,Consumo,27,yes,Data,latin1,
f9e327099f,dados_iniciais/Consumo Fornos/2021_F1_Consumo.csv,2021_F1_Consumo.csv,.csv,28.248,2025-04-29T19:26:22,csv,,Consumo,27,yes,Data,latin1,
35ebdac890,dados_iniciais/Consumo Fornos/2025_F2_Consumo.csv,2025_F2_Consumo.csv,.csv,24.667,2025-04-29T19:31:24,csv,,Consumo,27,yes,Data,latin1,
e8dc80f47e,dados_iniciais/Informações Diária/2024_F5_Inf.Diario.csv,2024_F5_Inf.Diario.csv,.csv,0.086,2025-04-30T10:48:24,csv,,F5_Supervisorio,52,yes,Data_base,utf-8,
1e30f0bad5,dados_iniciais/Informações Diária/2019_F2_Inf.Diario.csv,2019_F2_Inf.Diario.csv,.csv,0.085,2025-04-30T10:45:52,csv,,,45,yes,Data_base,utf-8,
3bb132f117,dados_iniciais/Informações Diária/2021_F4_Inf.Diario.csv,2021_F4_Inf.Diario.csv,.csv,0.085,2025-04-30T10:46:56,csv,,F4_Supervisorio,45,yes,Data_base,utf-8,
676886d8b8,dados_iniciais/Informações Diária/2018_F4_Inf.Diario.csv,2018_F4_Inf.Diario.csv,.csv,0.345,2025-04-30T10:45:36,csv,,F4_Supervisorio,45,yes,Data_base,utf-8,
bf2b0b04b1,dados_iniciais/Informações Diária/2025_F3_Inf.Diario.csv,2025_F3_Inf.Diario.csv,.csv,0.029,2025-04-30T10:48:40,csv,,,45,yes,Data_base,utf-8,
4753674b05,dados_iniciais/Informações Diária/2021_F5_Inf.Diario.csv,2021_F5_Inf.Diario.csv,.csv,0.086,2025-04-30T10:47:02,csv,,F5_Supervisorio,45,yes,Data_base,utf-8,
74b7db5eca,dados_iniciais/Informações Diária/2021_F3_Inf.Diario.csv,2021_F3_Inf.Diario.csv,.csv,0.09,2025-04-30T10:46:50,csv,,,44,yes,Data_base,utf-8,
e12ead4c4a,dados_iniciais/Informações Diária/2021_F2_Inf.Diario.csv,2021_F2_Inf.Diario.csv,.csv,0.083,2025-04-30T10:46:44,csv,,,45,yes,Data_base,utf-8,
067eceb694,dados_iniciais/Informações Diária/2019_F1_Inf.Diario.csv,2019_F1_Inf.Diario.csv,.csv,0.084,2025-04-30T10:45:48,csv,,,45,yes,Data_base,utf-8,
53fc51c42c,dados_iniciais/Informações Diária/2022_F1_Inf.Diario.csv,2022_F1_Inf.Diario.csv,.csv,0.083,2025-04-30T10:47:06,csv,,,45,yes,Data_base,utf-8,
f6ad7cc814,dados_iniciais/Informações Diária/2025_F1_Inf.Diario.csv,2025_F1_Inf.Diario.csv,.csv,0.026,2025-04-30T10:48:30,csv,,,45,yes,Data_base,utf-8,
4526a1fe26,dados_iniciais/Informações Diária/2018_F1_Inf.Diario.csv,2018_F1_Inf.Diario.csv,.csv,0.088,2025-04-30T10:45:22,csv,,,52,yes,Data_base,utf-8,
a770248604,dados_iniciais/Informações Diária/2021_F1_Inf.Diario.csv,2021_F1_Inf.Diario.csv,.csv,0.084,2025-04-30T10:46:40,csv,,,51,yes,Data_base,utf-8,
ad3950f22c,dados_iniciais/Informações Diária/2020_F2_Inf.Diario.csv,2020_F2_Inf.Diario.csv,.csv,0.082,2025-04-30T10:46:20,csv,,,45,yes,Data_base,utf-8,
6101f333ad,dados_iniciais/Informações Diária/2024_F3_Inf.Diario.csv,2024_F3_Inf.Diario.csv,.csv,0.058,2025-04-30T10:48:12,csv,,,52,yes,Data_base,utf-8,
2ca335970f,dados_iniciais/Informações Diária/2019_F4_Inf.Diario.csv,2019_F4_Inf.Diario.csv,.csv,0.078,2025-04-30T10:46:02,csv,,F4_Supervisorio,45,yes,Data_base,utf-8,
624260e63c,dados_iniciais/Informações Diária/2018_F3_Inf.Diario.csv,2018_F3_Inf.Diario.csv,.csv,0.09,2025-04-30T10:45:30,csv,,,45,yes,Data_base,utf-8,
58d0c1d936,dados_iniciais/Informações Diária/2020_F1_Inf.Diario.csv,2020_F1_Inf.Diario.csv,.csv,0.081,2025-04-30T10:46:12,csv,,,45,yes,Data_base,utf-8,
2169e17349,dados_iniciais/Informações Diária/2019_F3_Inf.Diario.csv,2019_F3_Inf.Diario.csv,.csv,0.079,2025-04-30T10:45:58,csv,,,45,yes,Data_base,utf-8,
07eb0a7424,dados_iniciais/Informações Diária/2020_F3_Inf.Diario.csv,2020_F3_Inf.Diario.csv,.csv,0.089,2025-04-30T10:46:24,csv,,,52,yes,Data_base,utf-8,
071f82c582,dados_iniciais/Informações Diária/2018_F5_Inf.Diario.csv,2018_F5_Inf.Diario.csv,.csv,0.082,2025-04-30T10:45:42,csv,,F5_Supervisorio,45,yes,Data_base,utf-8,
10efdbc82a,dados_iniciais/Informações Diária/2020_F4_Inf.Diario.csv,2020_F4_Inf.Diario.csv,.csv,0.082,2025-04-30T10:46:30,csv,,F4_Supervisorio,52,yes,Data_base,utf-8,
24a482307c,dados_iniciais/Informações Diária/2019_F5_Inf.Diario.csv,2019_F5_Inf.Diario.csv,.csv,0.079,2025-04-30T10:46:08,csv,,F5_Supervisorio,45,yes,Data_base,utf-8,
ab1daedc52,dados_iniciais/Informações Diária/2025_F2_Inf.Diario.csv,2025_F2_Inf.Diario.csv,.csv,0.026,2025-04-30T10:48:34,csv,,,45,yes,Data_base,utf-8,
78f4e00214,dados_iniciais/Informações Diária/2020_F5_Inf.Diario.csv,2020_F5_Inf.Diario.csv,.csv,0.084,2025-04-30T10:46:34,csv,,F5_Supervisorio,45,yes,Data_base,utf-8,
9f2d083533,dados_iniciais/Informações Diária/2018_F2_Inf.Diario.csv,2018_F2_Inf.Diario.csv,.csv,0.086,2025-04-30T10:45:26,csv,,,45,yes,Data_base,utf-8,
15a3c98d44,dados_iniciais/Informações Diária/2022_F3_Inf.Diario.csv,2022_F3_Inf.Diario.csv,.csv,0.078,2025-04-30T10:47:18,csv,,,52,yes,Data_base,utf-8,
a0d5eee2ad,dados_iniciais/Informações Diária/2025_F5_Inf.Diario.csv,2025_F5_Inf.Diario.csv,.csv,0.028,2025-04-30T10:48:52,csv,,F5_Supervisorio,45,yes,Data_base,utf-8,
a10c7d6eb9,dados_iniciais/Informações Diária/2023_F3_Inf.Diario.csv,2023_F3_Inf.Diario.csv,.csv,0.058,2025-04-30T10:47:42,csv,,,52,yes,Data_base,utf-8,
56a544ffcb,dados_iniciais/Informações Diária/2022_F2_Inf.Diario.csv,2022_F2_Inf.Diario.csv,.csv,0.081,2025-04-30T10:47:12,csv,,,45,yes,Data_base,utf-8,
fb29dbca08,dados_iniciais/Informações Diária/2024_F4_Inf.Diario.csv,2024_F4_Inf.Diario.csv,.csv,0.087,2025-04-30T10:48:20,csv,,F4_Supervisorio,52,yes,Data_base,utf-8,
57378bcd73,dados_iniciais/Informações Diária/2022_F5_Inf.Diario.csv,2022_F5_Inf.Diario.csv,.csv,0.089,2025-04-30T10:47:28,csv,,F5_Supervisorio,52,yes,Data_base,utf-8,
bd92b64da2,dados_iniciais/Informações Diária/2022_F4_Inf.Diario.csv,2022_F4_Inf.Diario.csv,.csv,0.085,2025-04-30T10:47:24,csv,,F4_Supervisorio,52,yes,Data_base,utf-8,
007d8af2bd,dados_iniciais/Informações Diária/2023_F4_Inf.Diario.csv,2023_F4_Inf.Diario.csv,.csv,0.087,2025-04-30T10:47:50,csv,,F4_Supervisorio,52,yes,Data_base,utf-8,
7286da67d6,dados_iniciais/Informações Diária/2024_F2_Inf.Diario.csv,2024_F2_Inf.Diario.csv,.csv,0.081,2025-04-30T10:48:06,csv,,,45,yes,Data_base,utf-8,
3d11cf9d4e,dados_iniciais/Informações Diária/2023_F5_Inf.Diario.csv,2023_F5_Inf.Diario.csv,.csv,0.087,2025-04-30T10:47:54,csv,,F5_Supervisorio,52,yes,Data_base,utf-8,
b8684b53b6,dados_iniciais/Informações Diária/2025_F4_Inf.Diario.csv,2025_F4_Inf.Diario.csv,.csv,0.027,2025-04-30T10:48:46,csv,,F4_Supervisorio,45,yes,Data_base,utf-8,
190411af91,dados_iniciais/Informações Diária/2024_F1_Inf.Diario.csv,2024_F1_Inf.Diario.csv,.csv,0.076,2025-04-30T10:48:00,csv,,,45,yes,Data_base,utf-8,
721d773fc7,dados_iniciais/Informações Diária/2023_F2_Inf.Diario.csv,2023_F2_Inf.Diario.csv,.csv,0.081,2025-04-30T10:47:38,csv,,,45,yes,Data_base,utf-8,
677dda713e,dados_iniciais/Informações Diária/2023_F1_Inf.Diario.csv,2023_F1_Inf.Diario.csv,.csv,0.082,2025-04-30T10:47:34,csv,,,45,yes,Data_base,utf-8,
0002fa56d0,dados_iniciais/Dicionário/Dic_Supervisorio F5 Hora.xlsx,Dic_Supervisorio F5 Hora.xlsx,.xlsx,0.065,2025-04-30T19:14:42,xlsx,F5,Supervisório,,,,,
bd4c6b292d,dados_iniciais/Dicionário/Dic_Consumo.xlsx,Dic_Consumo.xlsx,.xlsx,0.065,2025-04-30T14:03:48,xlsx,,Consumo,,,,,
fe46ce4492,dados_iniciais/Dicionário/Dic_Corrida.xlsx,Dic_Corrida.xlsx,.xlsx,0.066,2025-04-30T18:03:04,xlsx,,Corrida,,,,,
2740765702,dados_iniciais/Dicionário/Dic_Inf_Diário.xlsx,Dic_Inf_Diário.xlsx,.xlsx,0.068,2025-04-30T18:04:14,xlsx,,Dicionario_Dados,,,,,
b24a2e24a1,dados_iniciais/Dicionário/Dic_Supervisorio F5 Minuto.xlsx,Dic_Supervisorio F5 Minuto.xlsx,.xlsx,0.065,2025-04-30T19:03:02,xlsx,F5,Supervisório,,,,,
e476e9faae,dados_iniciais/Dicionário/Dic_Supervisorio F4.xlsx,Dic_Supervisorio F4.xlsx,.xlsx,0.223,2025-01-14T19:24:38,xlsx,F4,Supervisório,,,,,
724cb468c6,dados_iniciais/Dicionário/Dic_eletrodo.xlsx,Dic_eletrodo.xlsx,.xlsx,0.064,2025-04-30T16:25:34,xlsx,,Comprimento_Eletrodo,,,,,
cb131b65a7,dados_iniciais/Supervisorio Forno 5/Supervisor_F5 Hora.csv,Supervisor_F5 Hora.csv,.csv,4.91,2025-04-30T18:46:14,csv,F5,Supervisório,28,yes,Data,utf-8,
a60c8c32e9,dados_iniciais/Supervisorio Forno 5/Supervisorio_F5_Minuto.csv,Supervisorio_F5_Minuto.csv,.csv,41.47,2025-04-30T18:13:24,csv,F5,Supervisório,23,yes,Data,utf-8,
b492b5cfd5,dados_iniciais/Eletrodo/Medição Eletrodo.csv,Medição Eletrodo.csv,.csv,0.02,2025-04-30T16:24:12,csv,,Comprimento_Eletrodo,5,yes,Data medição,latin1,
